OBJECTID,OA01CD,OA01CDOLD,Shape__Area,Shape__Length,GlobalID
74783,E00074411,00HBPZ0013,99577.6824493408,1996.17884419244,e476a331-9c02-4411-b856-87c8a4ea09c2
74042,E00073670,00HBPB0035,49123.4599914551,1243.81193943502,b37e0bf5-3656-4b87-ae8b-67b1934ae2a9
72963,E00072963,00HAPS0001,291685.391372681,3257.1474106758,7f0c90b3-648b-4770-bfbe-a0cf6bba8165
72714,E00072714,00HAPB0012,925022.849918365,5735.33029393613,48c67f1c-9e21-4468-a627-bea1cf6455ba
74291,E00073919,00HBPJ0028,85537.2314338684,2078.54655592636,231f90aa-9941-45a6-83b3-88d4ee3c1770
173343,E00163512,46UFGL0006,516300.273326874,4168.93371581754,516d6ced-dd1d-44cc-87b2-aa1cf8961c37
172602,E00162771,46UCHL0004,75160.9503974915,1858.72391253467,6303d354-ceef-43cf-bf43-bb0fbc7a96ef
172608,E00162777,46UCHM0002,163071.958198547,2896.36750828435,f3b546cc-cf30-4e77-8c8c-d577d2404a34
161782,E00162429,46UBGQ0004,8325818.21512985,19162.6574402738,609ac7d0-21f7-4d16-a014-723c69414fd2
74048,E00073676,00HBPC0005,52550.2270545959,1051.21300047517,4b849264-19c5-4f4e-8750-77f0eb300dae
75957,E00075585,00HDPQ0028,40052.0001792908,990.129671010795,19f9c3f6-38e3-4f3c-b029-28860351a44d
58064,E00072634,00HANT0003,150188.816066742,2443.9557776045,c675e0b1-3d86-4d1f-adf3-40dfd6f5cbd2
75619,E00075247,00HDPB0008,14501462.6828232,22971.5661403955,19f15999-ff4e-47ea-af91-03ca74a183db
76212,E00075840,00HDQB0013,38154.5661964417,1194.01646110955,d221c8e2-bb51-4325-999e-455381fd6e03
58058,E00072628,00HANS0005,1432706.30741119,7173.53703079073,b896a7bf-6601-4b4c-9178-364d99f6bae0
74932,E00074560,00HCNY0007,48402.1390800476,1859.56167901006,1ab29b91-8cc8-4406-b24d-ffd44c0e322e
73401,E00073463,00HBNW0017,20446.9231262207,870.930742959712,04cd11c5-e387-4496-b738-72fda8106f97
74735,E00074363,00HBPY0001,58888.8980484009,1326.62109419795,de914f23-228b-40eb-a46c-b1c9c3f60b43
73942,E00073570,00HBNZ0012,20353.4067726135,653.293138071769,cb0d4d6c-8b8c-4aec-9a1d-5660fd5585fe
